naics,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost
311999,2026,5078.8,1470.2,3608.6,390.1,195.33846153846156,26.0,18.9,7.100000000000001,1291.1,39.5,766.2,7692.9
311999,2027,5078.8,1470.2,3608.6,390.1,195.33846153846156,26.0,18.9,7.100000000000001,1291.1,39.5,766.2,7692.9
312111,2024,15438.5,4524.5,10914.0,876.6,322.9811715481172,47.8,28.7,19.099999999999998,2818.0,60.4,1670.4,26107.0
312111,2025,15438.5,4524.5,10914.0,876.6,322.9811715481172,47.8,28.7,19.099999999999998,2818.0,60.4,1670.4,26107.0
312111,2026,15438.5,4524.5,10914.0,876.6,322.9811715481172,47.8,28.7,19.099999999999998,2818.0,60.4,1670.4,26107.0
312111,2027,15438.5,4524.5,10914.0,876.6,322.9811715481172,47.8,28.7,19.099999999999998,2818.0,60.4,1670.4,26107.0
312112,2024,2342.6,406.0,1936.6,434.3,249.21276595744678,9.4,5.5,3.9000000000000004,534.4,10.7,323.4,2228.3
312112,2025,2342.6,406.0,1936.6,434.3,249.21276595744678,9.4,5.5,3.9000000000000004,534.4,10.7,323.4,2228.3
312112,2026,2342.6,406.0,1936.6,434.3,249.21276595744678,9.4,5.5,3.9000000000000004,534.4,10.7,323.4,2228.3
312112,2027,2342.6,406.0,1936.6,434.3,249.21276595744678,9.4,5.5,3.9000000000000004,534.4,10.7,323.4,2228.3
312113,2024,377.7,103.4,274.3,51.1,82.10869565217392,4.6,2.2,2.3999999999999995,201.4,2.8,61.5,149.7
312113,2025,377.7,103.4,274.3,51.1,82.10869565217392,4.6,2.2,2.3999999999999995,201.4,2.8,61.5,149.7
312113,2026,377.7,103.4,274.3,51.1,82.10869565217392,4.6,2.2,2.3999999999999995,201.4,2.8,61.5,149.7
312113,2027,377.7,103.4,274.3,51.1,82.10869565217392,4.6,2.2,2.3999999999999995,201.4,2.8,61.5,149.7
312120,2024,15211.5,5036.9,10174.7,1568.8,378.39552238805965,40.2,24.1,16.1,2488.2,43.7,1481.2,10409.7
312120,2025,15211.5,5036.9,10174.7,1568.8,378.39552238805965,40.2,24.1,16.1,2488.2,43.7,1481.2,10409.7
312120,2026,15211.5,5036.9,10174.7,1568.8,378.39552238805965,40.2,24.1,16.1,2488.2,43.7,1481.2,10409.7
312120,2027,15211.5,5036.9,10174.7,1568.8,378.39552238805965,40.2,24.1,16.1,2488.2,43.7,1481.2,10409.7
312130,2024,8998.0,2563.7,6434.3,1000.3,212.2169811320755,42.4,18.4,24.0,2406.4,36.0,910.8,8420.2
312130,2025,8998.0,2563.7,6434.3,1000.3,212.2169811320755,42.4,18.4,24.0,2406.4,36.0,910.8,8420.2
312130,2026,8998.0,2563.7,6434.3,1000.3,212.2169811320755,42.4,18.4,24.0,2406.4,36.0,910.8,8420.2
312130,2027,8998.0,2563.7,6434.3,1000.3,212.2169811320755,42.4,18.4,24.0,2406.4,36.0,910.8,8420.2
312140,2024,2163.9,705.3,1458.6,372.8,237.79120879120882,9.1,5.8,3.3,618.3,12.6,337.2,3823.9
312140,2025,2163.9,705.3,1458.6,372.8,237.79120879120882,9.1,5.8,3.3,618.3,12.6,337.2,3823.9
312140,2026,2163.9,705.3,1458.6,372.8,237.79120879120882,9.1,5.8,3.3,618.3,12.6,337.2,3823.9
312140,2027,2163.9,705.3,1458.6,372.8,237.79120879120882,9.1,5.8,3.3,618.3,12.6,337.2,3823.9
312230,2024,6466.5,3001.5,3465.0,344.7,497.4230769230769,13.0,9.8,3.1999999999999993,854.9,18.5,515.8,8242.2
312230,2025,6466.5,3001.5,3465.0,344.7,497.4230769230769,13.0,9.8,3.1999999999999993,854.9,18.5,515.8,8242.2
312230,2026,6466.5,3001.5,3465.0,344.7,497.4230769230769,13.0,9.8,3.1999999999999993,854.9,18.5,515.8,8242.2
