naics,naics_title,match_level,short_title,short_label,full_label
327213,Glass Container Manufacturing,exact,Glass Container Mfg,327213 | Glass Container Mfg,327213 - Glass Container Manufacturing
327215,Glass Product Manufacturing Made of Purchased Glass,exact,Glass Prod Mfg Made of Purchased Glass,327215 | Glass Prod Mfg Made of Purchased Glass,327215 - Glass Product Manufacturing Made of Purchased Glass
327310,Cement Manufacturing,exact,Cement Mfg,327310 | Cement Mfg,327310 - Cement Manufacturing
327320,Ready-Mix Concrete Manufacturing,exact,Ready-Mix Concrete Mfg,327320 | Ready-Mix Concrete Mfg,327320 - Ready-Mix Concrete Manufacturing
327331,Concrete Block and Brick Manufacturing,exact,Concrete Block & Brick Mfg,327331 | Concrete Block & Brick Mfg,327331 - Concrete Block and Brick Manufacturing
327332,Concrete Pipe Manufacturing,exact,Concrete Pipe Mfg,327332 | Concrete Pipe Mfg,327332 - Concrete Pipe Manufacturing
327390,Other Concrete Product Manufacturing,exact,Other Concrete Prod Mfg,327390 | Other Concrete Prod Mfg,327390 - Other Concrete Product Manufacturing
327410,Lime Manufacturing,exact,Lime Mfg,327410 | Lime Mfg,327410 - Lime Manufacturing
327420,Gypsum Product Manufacturing,exact,Gypsum Prod Mfg,327420 | Gypsum Prod Mfg,327420 - Gypsum Product Manufacturing
327910,Abrasive Product Manufacturing,exact,Abrasive Prod Mfg,327910 | Abrasive Prod Mfg,327910 - Abrasive Product Manufacturing
327991,Cut Stone and Stone Product Manufacturing,exact,Cut Stone & Stone Prod Mfg,327991 | Cut Stone & Stone Prod Mfg,327991 - Cut Stone and Stone Product Manufacturing
327992,Ground or Treated Mineral and Earth Manufacturing,exact,Ground or Treated Mineral & Earth Mfg,327992 | Ground or Treated Mineral & Earth Mfg,327992 - Ground or Treated Mineral and Earth Manufacturing
327993,Mineral Wool Manufacturing,exact,Mineral Wool Mfg,327993 | Mineral Wool Mfg,327993 - Mineral Wool Manufacturing
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,exact,All Other Misc Nonmetallic Mineral Pr...,327999 | All Other Misc Nonmetallic Mineral Pr...,327999 - All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
